,PerpLE Counter,litmus7 User, litmus7 Timebase, litmus7 Userfence, litmus7 Pthread, litmus7 None
<00>,309,3,760,3,2,0
<01>,41278836,4999,4294,5000,9980,0
<10>,58720667,4998,4801,4997,18,10000
<11>,188,0,145,0,0,0

<00>,9270,2,2413,13,1917,25
<01>,53737264,5001,4037,4996,7266,1555
<10>,46253466,4997,3550,4991,817,8420
<11>,0,0,0,0,0,0

<000>,1965,9,93,2,238,0
<001>,180756536574,2408,1373,1763,240,0
<010>,251639866678,2260,570,3344,2591,0
<011>,306101244783,1075,2553,1511,1845,10000
<100>,62035193114,2323,3620,3284,1848,0
<101>,129472018347,929,291,71,290,0
<110>,69995138243,996,1494,24,2948,0
<111>,296,0,6,1,0,0

